
=========================== Device: cuda:2, NVIDIA GeForce RTX 3090 ===========================

=========================== Random Seed: 777 ===========================

=========================== Training ===========================
[2023/04/04 00:11:10] 	 epoch : 184/300 	 Epoch loss:693.639400 	 Accuracy: 0.5089
[2023/04/04 00:14:56] 	 epoch : 185/300 	 Epoch loss:692.615248 	 Accuracy: 0.5060
[2023/04/04 00:18:41] 	 epoch : 186/300 	 Epoch loss:690.775665 	 Accuracy: 0.5085
[2023/04/04 00:22:26] 	 epoch : 187/300 	 Epoch loss:688.560058 	 Accuracy: 0.5098
[2023/04/04 00:26:11] 	 epoch : 188/300 	 Epoch loss:687.244090 	 Accuracy: 0.5113
[2023/04/04 00:29:57] 	 epoch : 189/300 	 Epoch loss:684.692678 	 Accuracy: 0.5135
[2023/04/04 00:33:42] 	 epoch : 190/300 	 Epoch loss:682.936631 	 Accuracy: 0.5128
[2023/04/04 00:34:25] 	 ##### Accuracy on validation set: 0.6347 #####
[2023/04/04 00:34:25] 	 ##### Best accuracy so far: 0.6299  =>  saving model... #####
[2023/04/04 00:38:02] 	 epoch : 191/300 	 Epoch loss:682.771562 	 Accuracy: 0.5127
[2023/04/04 00:41:48] 	 epoch : 192/300 	 Epoch loss:678.636837 	 Accuracy: 0.5166
[2023/04/04 00:45:33] 	 epoch : 193/300 	 Epoch loss:678.728129 	 Accuracy: 0.5172
[2023/04/04 00:49:18] 	 epoch : 194/300 	 Epoch loss:675.169425 	 Accuracy: 0.5184
[2023/04/04 00:53:04] 	 epoch : 195/300 	 Epoch loss:674.231594 	 Accuracy: 0.5174
[2023/04/04 00:56:49] 	 epoch : 196/300 	 Epoch loss:672.306395 	 Accuracy: 0.5224
[2023/04/04 01:00:34] 	 epoch : 197/300 	 Epoch loss:671.390026 	 Accuracy: 0.5210
[2023/04/04 01:04:19] 	 epoch : 198/300 	 Epoch loss:667.270885 	 Accuracy: 0.5223
[2023/04/04 01:08:05] 	 epoch : 199/300 	 Epoch loss:666.282359 	 Accuracy: 0.5245
[2023/04/04 01:11:50] 	 epoch : 200/300 	 Epoch loss:663.424142 	 Accuracy: 0.5261
[2023/04/04 01:12:32] 	 ##### Accuracy on validation set: 0.6398 #####
[2023/04/04 01:12:32] 	 ##### Best accuracy so far: 0.6347  =>  saving model... #####
[2023/04/04 01:16:10] 	 epoch : 201/300 	 Epoch loss:663.248076 	 Accuracy: 0.5274
[2023/04/04 01:19:55] 	 epoch : 202/300 	 Epoch loss:661.770805 	 Accuracy: 0.5261
[2023/04/04 01:23:40] 	 epoch : 203/300 	 Epoch loss:657.638382 	 Accuracy: 0.5296
[2023/04/04 01:27:26] 	 epoch : 204/300 	 Epoch loss:658.034548 	 Accuracy: 0.5292
[2023/04/04 01:31:11] 	 epoch : 205/300 	 Epoch loss:655.954462 	 Accuracy: 0.5323
[2023/04/04 01:34:56] 	 epoch : 206/300 	 Epoch loss:653.327708 	 Accuracy: 0.5323
[2023/04/04 01:38:42] 	 epoch : 207/300 	 Epoch loss:652.312101 	 Accuracy: 0.5311
[2023/04/04 01:42:27] 	 epoch : 208/300 	 Epoch loss:649.108858 	 Accuracy: 0.5356
[2023/04/04 01:46:13] 	 epoch : 209/300 	 Epoch loss:647.124917 	 Accuracy: 0.5349
[2023/04/04 01:49:58] 	 epoch : 210/300 	 Epoch loss:647.974644 	 Accuracy: 0.5337
[2023/04/04 01:50:40] 	 ##### Accuracy on validation set: 0.6415 #####
[2023/04/04 01:50:40] 	 ##### Best accuracy so far: 0.6398  =>  saving model... #####
[2023/04/04 01:54:18] 	 epoch : 211/300 	 Epoch loss:645.349087 	 Accuracy: 0.5371
[2023/04/04 01:58:04] 	 epoch : 212/300 	 Epoch loss:643.877930 	 Accuracy: 0.5396
[2023/04/04 02:01:49] 	 epoch : 213/300 	 Epoch loss:643.010043 	 Accuracy: 0.5371
[2023/04/04 02:05:34] 	 epoch : 214/300 	 Epoch loss:638.366192 	 Accuracy: 0.5413
[2023/04/04 02:09:19] 	 epoch : 215/300 	 Epoch loss:637.060845 	 Accuracy: 0.5406
[2023/04/04 02:13:04] 	 epoch : 216/300 	 Epoch loss:635.458015 	 Accuracy: 0.5420
